Account Name,nsbi_sector,New Georeferenced Column,NSBI Financial Contribution (Commitment/Announced),Place Name,nsbi_county,PostalCode,fiscal year,Longitude,Latitude
10380008 Canada Inc dba MobSquad,ICT (includes Digital Media),POINT (-63.581038 44.652525),"2,084,800",Halifax,Halifax Regional Municipality,B3K5T8,2018 - 2019,-63.581038,44.652525
Gael Force Group,Oceans Technology,POINT (-60.446479 45.850577),0,East Bay,Halifax Regional Municipality,B0A1H0,2018 - 2019,-60.446479,45.850577
Sensor Technology Ltd,Oceans Technology,POINT (-63.556475 44.661861),0,Dartmouth,Halifax Regional Municipality,B2Y4T5,2018 - 2019,-63.556475,44.661861
Columbus AI,ICT (includes Digital Media),,0,,Halifax Regional Municipality,,2018 - 2019,,
Accenture Canada,ICT (includes Digital Media),POINT (-63.572554 44.644489),0,Halifax,Halifax Regional Municipality,B3J3k5,2018 - 2019,-63.572554,44.644489
Propipe UK,Oceans Technology,POINT (-63.57347352 44.64895408),0,Halifax,Halifax Regional Municipality,B3J3N4,2018 - 2019,-63.57347352,44.64895408
Invisible Agents,ICT (includes Digital Media),POINT (-63.57606155 44.65201157),0,Halifax,Halifax Regional Municipality,B3J3N2,2018 - 2019,-63.57606155,44.65201157
Nova Innovation,Energy,POINT (-63.623858 44.653361),0,Halifax,Halifax Regional Municipality,B3L2C1,2018 - 2019,-63.623858,44.653361
Sea Harvest Seafood (2019) Ltd,Fish & Seafood Processing,POINT (-63.789083 44.663635),0,Hubley,Halifax Regional Municipality,B3Z0A2,2018 - 2019,-63.789083,44.663635
Adadem Import and Export,Business Services,POINT (-63.620793 44.634023),0,Halifax,Halifax Regional Municipality,B3N1B9,2018 - 2019,-63.620793,44.634023
Amos And Andy Fisheries Limited,Fish & Seafood Processing,POINT (-63.5834154 44.4838879),0,Sambro Head,Halifax Regional Municipality,B3V1L2,2018 - 2019,-63.5834154,44.4838879
Caldera Distilling Inc.,Agri-food,POINT (-63.041939 45.747988),0,River John,Pictou,B0K1N0,2018 - 2019,-63.041939,45.747988
Clever Fruit Products,Not Coded,POINT (-61.909827 45.546171),0,Antigonish,Halifax Regional Municipality,B2G2P9,2018 - 2019,-61.909827,45.546171
Fair Grant Writing,Not Coded,POINT (-79.440467 43.885336),0,Richmond Hill,Not Applicable / Unknown,L4C3C7,2018 - 2019,-79.440467,43.885336
Famolex Integrated Consult Limited,Business Services,POINT (-63.653935 44.66328),0,Halifax,Halifax Regional Municipality,B3M3Y7,2018 - 2019,-63.653935,44.66328
Globiz Innovation Inc.,Business Services,POINT (-63.647579 44.654692),0,Halifax,Halifax Regional Municipality,B3M1G9,2018 - 2019,-63.647579,44.654692
McInnes Cooper,Not Coded,POINT (-63.645986 44.648416),0,Halifax,Halifax Regional Municipality,B3J2V1,2018 - 2019,-63.645986,44.648416
Sea Star Seafoods Limited,Fish & Seafood Processing,POINT (-65.650454 43.462969),0,Clarks Harbour,Shelburne,B0W1P0,2018 - 2019,-65.650454,43.462969
GeoSpectrum Technologies Incorporated,Oceans Technology,POINT (-63.611144 44.704132),0,Dartmouth,Halifax Regional Municipality,B3B1J4,2018 - 2019,-63.611144,44.704132
Institute for Big Data Analytics,Not Coded,POINT (-63.59641358 44.63705044),0,Halifax,Halifax Regional Municipality,B3H4R2,2018 - 2019,-63.59641358,44.63705044
Jasco Applied Sciences (Canada) Ltd,Oceans Technology,POINT (-63.584818 44.709741),0,Dartmouth,Halifax Regional Municipality,B3B1Z1,2018 - 2019,-63.584818,44.709741
Kraken Robotics Inc.,Aerospace & Defence,POINT (-63.610623 44.703069),0,Dartmouth,Halifax Regional Municipality,B3B1T3,2018 - 2019,-63.610623,44.703069
Metamaterial Technologies Inc,Advanced Manufacturing,POINT (-63.542698 44.660305),0,Dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305
Acadian Maple Products Ltd,Agri-food,POINT (-63.887556 44.684635),0,Upper Tantallon,Halifax Regional Municipality,B3Z2J2,2018 - 2019,-63.887556,44.684635
Acadian Seaplants Limited / Les Algues Acadiennes Limitee,Life Sciences,POINT (-63.596395 44.696321),0,Dartmouth,Halifax Regional Municipality,B3B1X8,2018 - 2019,-63.596395,44.696321
Cedar Bay Grilling Company,Fish & Seafood Processing,POINT (-64.05186 44.643217),0,Hubbards,Lunenburg,B0J1T0,2018 - 2019,-64.05186,44.643217
Galloping Cows Fine Foods,Agri-food,POINT (-61.53185 46.01684),0,Port Hood,Inverness,B0E2W0,2018 - 2019,-61.53185,46.01684
Hailmar Investments Limited,Fish & Seafood Processing,POINT (-65.12347 43.71839),0,Lockeport,Shelburne,B0T1L0,2018 - 2019,-65.12347,43.71839
Hutchinson Maple (Hutchinson Acres Inc) (Pure Infused Maple Syrup),Agri-food,POINT (-64.800737 45.066995),0,Aylesford,Kings,B0P1C0,2018 - 2019,-64.800737,45.066995
The Tea Brewery,Agri-food,POINT (-64.307402 44.308292),0,Mahone Bay,Lunenburg,B0J2E0,2018 - 2019,-64.307402,44.308292
Van Dyk's Health Juice Products Ltd,Advanced Manufacturing,POINT (-65.019781 44.378101),0,Caledonia,Queens,B0T1B0,2018 - 2019,-65.019781,44.378101
Luckett Vineyards (Luckett Farms Limited),Agri-food,POINT (-64.348807 45.068884),0,Wolfville,Kings,B4P2R3,2018 - 2019,-64.348807,45.068884
Blomidon Estate Winery,Agri-food,POINT (-64.165254 45.026806),0,Canning,Kings,B0P1H0,2018 - 2019,-64.165254,45.026806
Devonian Coast Wineries Ltd  (DCW),Agri-food,POINT (-63.453043 45.794472),0,Malagash,Cumberland,B0K1E0,2018 - 2019,-63.453043,45.794472
Domaine de Grand Pre,Agri-food,POINT (-64.285653 45.095031),0,Grand Pre,Kings,B0P1M0,2018 - 2019,-64.285653,45.095031
Mother Hubbard's Kitchens,Advanced Manufacturing,POINT (-63.581229 44.699529),0,Dartmouth,Halifax Regional Municipality,B3B1T5,2018 - 2019,-63.581229,44.699529
Bluenose Frozen Seafood Incorporated,Fish & Seafood Processing,POINT (-63.598276 44.482335),0,Prospect Bay,Halifax Regional Municipality,B3V1L5,2018 - 2019,-63.598276,44.482335
Captain Little Seafood Ltd.,Fish & Seafood Processing,POINT (-65.313433 43.775345),0,Port Mouton,Queens,B0T1T0,2018 - 2019,-65.313433,43.775345
Marimetrics Technologies,Oceans Technology,POINT (-63.556376 44.663211),0,Dartmouth,Halifax Regional Municipality,B2Y4A5,2018 - 2019,-63.556376,44.663211
Ocean Data Science,Transportation & Logistics,POINT (-63.586966 44.637694),0,Halifax,Halifax Regional Municipality,B3H1W5,2018 - 2019,-63.586966,44.637694
Prosaris Solutions Ltd.,ICT (includes Digital Media),POINT (-63.756573 44.731435),0,Hammonds Plains,Halifax Regional Municipality,B4B1P4,2018 - 2019,-63.756573,44.731435
ReelData,Oceans Technology,POINT (-63.556475 44.661861),0,Dartmouth,Halifax Regional Municipality,B2Y4T5,2018 - 2019,-63.556475,44.661861
Wittaya Aqua,Oceans Technology,POINT (-63.556475 44.661861),0,Dartmouth,Halifax Regional Municipality,B2Y4T5,2018 - 2019,-63.556475,44.661861
Geoforce Group Limited,Oceans Technology,POINT (-63.611144 44.704132),0,Dartmouth,Halifax Regional Municipality,B3B1J4,2018 - 2019,-63.611144,44.704132
MacArtney Canada Ltd,Oceans Technology,POINT (-63.56358 44.667535),0,Dartmouth,Halifax Regional Municipality,B2Y2W1,2018 - 2019,-63.56358,44.667535
Clearwater Seafoods Ltd Partnership,Fish & Seafood Processing,POINT (-63.665571 44.707624),0,Bedford,Halifax Regional Municipality,B4A3Z7,2018 - 2019,-63.665571,44.707624
Gidney Fisheries Limited,Fish & Seafood Processing,POINT (-65.84642 44.536344),0,Digby,Digby,B0V1A0,2018 - 2019,-65.84642,44.536344
Natural Hues Inc,Agri-food,POINT (-63.615373 44.645626),0,Halifax,Colchester,B3L2H5,2018 - 2019,-63.615373,44.645626
Ashored Innovations,Oceans Technology,POINT (-63.56358 44.667535),0,Dartmouth,Colchester,B2Y2W1,2018 - 2019,-63.56358,44.667535
Annapolis Brewing Company,Not Coded,POINT (-65.51801 44.74364),0,Annapolis Royal,Annapolis,B0S1A0,2018 - 2019,-65.51801,44.74364
Authentic Seacoast Company Ltd,Agri-food,POINT (-61.132467 45.320843),0,Guysborough,Guysborough,B0H1N0,2018 - 2019,-61.132467,45.320843
Island_ Folk_ Cider_ House,Agri-food,POINT (-59.866593 46.145213),0,Port Morien,Cape Breton,B1B1E7,2018 - 2019,-59.866593,46.145213
The Propeller Brewing Company,Agri-food,POINT (-63.602778 44.696904),0,Dartmouth,Halifax Regional Municipality,B3B1B6,2018 - 2019,-63.602778,44.696904
IBM Canada Ltd,ICT (includes Digital Media),POINT (-63.740337 44.723448),0,Bedford,Halifax Regional Municipality,B4B1G4,2018 - 2019,-63.740337,44.723448
Easypass Immigration & Education Consulting Inc,Business Services,POINT (-63.57813098 44.64335495),0,Halifax,Halifax Regional Municipality,B3J3K3,2018 - 2019,-63.57813098,44.64335495
Fundy Drinks LTD,Agri-food,POINT (-63.578146 44.649349),0,Halifax,Kings,B3J2G7,2018 - 2019,-63.578146,44.649349
