ComID,GeogName,DataGroup,DataGroup_Order,Year,Female - .,Female - %,Male - .,Male - %,Total - .,Total - %
COM1731,New Victoria-Victoria Mines,Another province or territory,6,2011,0,0,0,0,26,2.5
COM1732,New Waterford,Another province or territory,6,2011,0,0,43,1.8,129,2.5
COM1733,North Sydney,Another province or territory,6,2011,0,0,110,4.8,226,4.5
COM1734,Northside East Bay-Islandview,Another province or territory,6,2011,0,0,20,8.2,53,11.4
COM1735,Point Edward Peninsula,Another province or territory,6,2011,36,10.7,27,8.8,63,9.8
COM1736,Port Morien,Another province or territory,6,2011,6,2.8,5,3,10,2.6
COM1737,Prime Brook,Another province or territory,6,2011,2,1,12,7.9,19,5.4
COM1738,Reserve Mines,Another province or territory,6,2011,0,0,15,2.3,23,1.7
COM1739,Round Island-Black Brook and Area,Another province or territory,6,2011,13,17.1,10,10.9,21,12.7
COM1740,South Bar,Another province or territory,6,2011,0,0,0,0,16,3
COM1741,Sydney,Another province or territory,6,2011,220,2.3,382,4.7,812,4.6
COM1742,Sydney Forks-Portage,Another province or territory,6,2011,3,0.7,3,0.8,21,2.6
COM1743,Sydney Mines,Another province or territory,6,2011,35,1.2,35,1.3,170,3.1
COM1744,Sydney River,Another province or territory,6,2011,78,5.6,108,8.4,234,8.8
COM1745,Upper North Sydney-Leitches Creek and Area,Another province or territory,6,2011,4,1.5,5,1.8,29,5.3
COM1746,Westmount,Another province or territory,6,2011,20,1.7,30,2.9,110,5
com1747,Fortress of Louisbourg,Another province or territory,6,2011,0,0,0,0,0,0
com1748,Membertou First Nation (Sydney (28A)),Another province or territory,6,2011,0,0,0,0,0,0
com1749,Membertou First Nation (Caribou Marsh (29)),Another province or territory,6,2011,0,0,0,0,0,0
COM1801,Little Narrows,Another province or territory,6,2011,20,9.5,0,0,45,10.1
COM1802,Baddeck,Another province or territory,6,2011,55,6.8,77,9,150,9
COM1803,Wagmatcook First Nation (Wagmatcook (1)),Another province or territory,6,2011,0,0,10,5.3,10,2.8
